H 0.32
Ne 0.71
F 0.72
O 0.73
N 0.75
C 0.77
B 0.82
Be 0.9
He 0.93
Ar 0.98
Cl 0.99
S 1.02
P 1.06
Si 1.11
Kr 1.12
Br 1.14
Ni 1.15
Se 1.16
Co 1.16
Cu 1.17
Fe 1.17
Mn 1.17
Al 1.18
Cr 1.18
As 1.2
Ge 1.22
V 1.22
Li 1.23
Rh 1.25
Ru 1.25
Zn 1.25
Ga 1.26
Os 1.26
Ir 1.27
Tc 1.27
Re 1.28
Pd 1.28
W 1.3
Pt 1.3
Mo 1.3
Xe 1.31
Ti 1.32
I 1.33
Ta 1.34
Nb 1.34
Ag 1.34
Au 1.34
Te 1.36
Mg 1.36
Sn 1.41
Sb 1.41
U 1.42
In 1.44
Sc 1.44
Hf 1.44
Zr 1.45
At 1.45
Bi 1.46
Po 1.46
Pb 1.47
Cd 1.48
Tl 1.48
Hg 1.49
Na 1.54
Tm 1.56
Lu 1.56
Er 1.57
Ho 1.58
Dy 1.59
Tb 1.59
Gd 1.61
Y 1.62
Sm 1.62
Pm 1.63
Nd 1.64
Th 1.65
Ce 1.65
Pr 1.65
La 1.69
Yb 1.74
Ca 1.74
Eu 1.85
Sr 1.91
Ba 1.98
K 2.03
Rb 2.16
Cs 2.35
